jpg_resolves_now,reason,year,half_year,trip,stem,verdict,jpg_path,xmp_path
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7501,ok,data/jpg/2019.4/_D8S7501.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7501.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7503,ok,data/jpg/2019.4/_D8S7503.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7503.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7525,ok,data/jpg/2019.4/_D8S7525.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7525.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7541,ok,data/jpg/2019.4/_D8S7541.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7541.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7546,ok,data/jpg/2019.4/_D8S7546.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7546.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7548,ok,data/jpg/2019.4/_D8S7548.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7548.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7554,ok,data/jpg/2019.4/_D8S7554.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7554.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7561,ok,data/jpg/2019.4/_D8S7561.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7561.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7562,ok,data/jpg/2019.4/_D8S7562.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7562.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7612,ok,data/jpg/2019.4/_D8S7612.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7612.xmp
